init_date,valid_date,lead_hours,region,forecast_precip_mm,forecast_temp_c,observed_precip_mm,regime,forecast_error_mm,month,doy,predicted_regime,corrected_precip_mm,corrected_error_mm,abs_corrected_error,is_bust,regime_confidence,bust_probability
2023-06-23,2023-06-26,72,Maharashtra,1.5598047971725464,24.887872314453148,12.776752471923828,active,-11.216947674751282,6,177,active,12.52970508256784,-0.2470473893559877,0.2470473893559877,0,0.935,0.35604784545854384
2023-06-24,2023-06-27,72,Maharashtra,3.3782780170440674,24.5153747558594,17.421796798706055,active,-14.043518781661987,6,178,active,14.34817830243936,-3.073618496266695,3.073618496266695,0,0.995,0.5083261501778534
2023-06-25,2023-06-28,72,Maharashtra,2.508595466613769,24.134118652343773,17.285057067871094,active,-14.776461601257324,6,179,active,13.478495752009062,-3.806561315862032,3.806561315862032,0,1.0,0.43505330907503303
2023-06-26,2023-06-29,72,Maharashtra,1.6541374921798706,24.016778564453148,10.723336219787598,active,-9.069198727607729,6,180,active,12.624037777575165,1.900701557787567,1.900701557787567,0,1.0,0.3661955485300562
2023-06-27,2023-06-30,72,Maharashtra,4.707458972930908,24.423913574218773,9.85964298248291,active,-5.152184009552002,6,181,active,15.6773592583262,5.81771627584329,5.81771627584329,1,1.0,0.6301772946242549
2023-06-28,2023-07-01,72,Maharashtra,3.62128496170044,24.30562744140628,7.745876312255859,active,-4.12459135055542,7,182,active,14.591185247095732,6.845308934839872,6.845308934839872,0,0.995,0.5626745987699328
2023-06-29,2023-07-02,72,Maharashtra,0.8717220425605774,25.220056152343773,5.358013153076172,active,-4.4862911105155945,7,183,active,11.84162232795587,6.483609174879698,6.483609174879698,0,0.935,0.33715514525603535
2023-06-30,2023-07-03,72,Maharashtra,0.9441288113594056,25.920922851562523,6.387117385864258,break,-5.442988574504852,7,184,break,4.156942014485153,-2.2301753713791044,2.2301753713791044,0,0.795,0.3578582010558629
2023-07-01,2023-07-04,72,Maharashtra,5.275859355926514,25.533959960937523,22.743701934814453,active,-17.46784257888794,7,185,break,8.488672559052262,-14.255029375762192,14.255029375762192,1,0.58,0.7364436344422254
2023-07-02,2023-07-05,72,Maharashtra,6.257648468017578,24.82442626953128,15.740690231323242,active,-9.483041763305664,7,186,active,17.22754875341287,1.4868585220896264,1.4868585220896264,1,1.0,0.77234273924236
2023-07-03,2023-07-06,72,Maharashtra,5.169434547424316,24.239312744140648,15.159356117248535,active,-9.98992156982422,7,187,active,16.139334832819607,0.9799787155710717,0.9799787155710717,1,1.0,0.7010691643079502
2023-07-04,2023-07-07,72,Maharashtra,6.26245641708374,23.759393310546898,13.584771156311035,active,-7.322314739227295,7,188,active,17.23235670247903,3.6475855461679956,3.6475855461679956,1,1.0,0.7768267776354996
2023-07-05,2023-07-08,72,Maharashtra,1.856643319129944,23.953393554687523,12.035481452941896,active,-10.178838133811952,7,189,active,12.826543604525236,0.7910621515833398,0.7910621515833398,0,1.0,0.4294612854698527
2023-07-06,2023-07-09,72,Maharashtra,0.8477563858032227,24.3159118652344,7.089992523193359,active,-6.242236137390137,7,190,active,11.817656671198517,4.727664148005157,4.727664148005157,0,0.965,0.3516113238785726
2023-07-07,2023-07-10,72,Maharashtra,0.937062919139862,24.469140625000023,7.0074639320373535,active,-6.070401012897492,7,191,active,11.906963204535154,4.899499272497801,4.899499272497801,0,0.99,0.35931970678486935
2023-07-08,2023-07-11,72,Maharashtra,0.7275640964508057,24.43258056640628,16.543922424316406,active,-15.8163583278656,7,192,active,11.697464381846098,-4.846458042470308,4.846458042470308,0,0.945,0.34924502295665466
2023-07-09,2023-07-12,72,Maharashtra,1.0434149503707886,24.844018554687523,9.772382736206056,active,-8.728967785835268,7,193,active,12.01331523576608,2.2409324995600244,2.2409324995600244,0,1.0,0.3726370007909452
2023-07-10,2023-07-13,72,Maharashtra,0.4139714539051056,24.108239746093773,9.175885200500488,active,-8.761913746595383,7,194,active,11.383871739300398,2.2079865387999096,2.2079865387999096,0,0.82,0.34073308339056624
2023-07-11,2023-07-14,72,Maharashtra,0.5965909361839294,24.520318603515648,8.97434139251709,active,-8.37775045633316,7,195,active,11.566491221579222,2.592149829062132,2.592149829062132,0,0.965,0.3452577276918326
2023-07-12,2023-07-15,72,Maharashtra,1.6061334609985352,24.690270996093773,13.9805908203125,active,-12.374457359313965,7,196,active,12.576033746393827,-1.4045570739186726,1.4045570739186726,0,1.0,0.4285404576971036
2023-07-13,2023-07-16,72,Maharashtra,2.8667685985565186,23.589654541015648,11.504498481750488,active,-8.63772988319397,7,197,active,13.83666888395181,2.3321704022013225,2.3321704022013225,0,1.0,0.5413502731585427
2023-07-14,2023-07-17,72,Maharashtra,1.3306381702423096,23.482293701171898,17.234603881835938,active,-15.903965711593628,7,198,active,12.300538455637602,-4.934065426198336,4.934065426198336,0,1.0,0.41088348186307755
2023-07-15,2023-07-18,72,Maharashtra,1.402462124824524,23.737481689453148,35.33662414550781,active,-33.93416202068329,7,199,active,12.372362410219816,-22.964261735287998,22.964261735287998,0,1.0,0.4199067710893473
2023-07-16,2023-07-19,72,Maharashtra,1.7387092113494873,23.685205078125023,27.36490249633789,active,-25.626193284988403,7,200,active,12.70860949674478,-14.656292999593111,14.656292999593111,0,1.0,0.45180687273747605
2023-07-17,2023-07-20,72,Maharashtra,1.001019835472107,23.510156250000023,22.94440269470215,active,-21.94338285923004,7,201,active,11.9709201208674,-10.97348257383475,10.97348257383475,0,0.985,0.3931719903700782
2023-07-18,2023-07-21,72,Maharashtra,0.6302447319030762,23.6193786621094,31.932228088378903,active,-31.301983356475827,7,202,active,11.600145017298368,-20.332083071080532,20.332083071080532,0,0.96,0.367666111009412
2023-07-19,2023-07-22,72,Maharashtra,1.8202214241027832,23.98458251953128,20.57537651062012,active,-18.755155086517338,7,203,active,12.790121709498075,-7.785254801122045,7.785254801122045,0,1.0,0.46783868302870557
2023-07-20,2023-07-23,72,Maharashtra,1.0571095943450928,23.685449218750023,13.58071231842041,active,-12.523602724075316,7,204,active,12.027009879740383,-1.5537024386800269,1.5537024386800269,0,1.0,0.40512983560328786
2023-07-21,2023-07-24,72,Maharashtra,1.6195367574691772,23.89376220703128,14.788373947143556,active,-13.16883718967438,7,205,active,12.58943704286447,-2.198936904279087,2.198936904279087,0,1.0,0.4563306975459275
2023-07-22,2023-07-25,72,Maharashtra,3.7198426723480233,23.542260742187523,22.808794021606445,active,-19.088951349258423,7,206,active,14.689742957743317,-8.119051063863129,8.119051063863129,1,1.0,0.6393615415415015
2023-07-23,2023-07-26,72,Maharashtra,5.508450031280518,23.558770751953148,37.872894287109375,active,-32.36444425582886,7,207,active,16.478350316675808,-21.394543970433567,21.394543970433567,1,1.0,0.770498193347318
2023-07-24,2023-07-27,72,Maharashtra,8.20272445678711,23.47530517578128,37.262508392333984,active,-29.059783935546875,7,208,active,19.1726247421824,-18.089883650151585,18.089883650151585,1,1.0,0.8972380322168266
2023-07-25,2023-07-28,72,Maharashtra,5.023819923400879,23.592797851562523,10.083449363708496,active,-5.059629440307617,7,209,active,15.993720208796171,5.910270845087675,5.910270845087675,1,1.0,0.7437140015808639
2023-07-26,2023-07-29,72,Maharashtra,1.6984994411468506,22.9252868652344,1.950772762298584,active,-0.2522733211517334,7,210,active,12.668399726542145,10.71762696424356,10.71762696424356,0,1.0,0.47814668593026116
2023-07-27,2023-07-30,72,Maharashtra,0.5423222780227661,23.023797607421898,2.1207425594329834,active,-1.5784202814102173,7,211,active,11.512222563418058,9.391480003985075,9.391480003985075,0,0.83,0.39772768199620295
2023-07-28,2023-07-31,72,Maharashtra,1.0381702184677124,23.714990234375023,3.168473958969116,active,-2.130303740501404,7,212,active,12.008070503863005,8.839596544893888,8.839596544893888,0,0.935,0.43297475601555313
2023-07-29,2023-08-01,72,Maharashtra,3.620119571685791,23.7241149902344,3.967720031738281,break,-0.3476004600524898,8,213,break,6.832932774811539,2.865212743073258,2.865212743073258,1,0.87,0.6807803631843206
2023-07-30,2023-08-02,72,Maharashtra,1.426573395729065,23.674249267578148,8.372653007507324,break,-6.946079611778259,8,214,break,4.639386598854813,-3.7332664086525114,3.7332664086525114,0,0.975,0.49012804820259537
2023-07-31,2023-08-03,72,Maharashtra,1.5634469985961914,23.586114501953148,12.81719207763672,break,-11.25374507904053,8,215,break,4.776260201721939,-8.040931875914781,8.040931875914781,0,0.98,0.5046309478291733
2023-08-01,2023-08-04,72,Maharashtra,1.1244173049926758,23.212579345703148,1.5575602054595947,break,-0.4331429004669189,8,216,break,4.337230508118424,2.779670302658829,2.779670302658829,0,0.945,0.47258396580589296
2023-08-02,2023-08-05,72,Maharashtra,0.684003472328186,23.477838134765648,0.4436182081699371,break,0.2403852641582489,8,217,break,3.8968166754539335,3.4531984672839964,3.4531984672839964,0,0.975,0.4344760215877862
2023-08-03,2023-08-06,72,Maharashtra,0.3608683049678802,23.497644042968773,0.4888158738613128,break,-0.1279475688934326,8,218,break,3.573681508093628,3.0848656342323153,3.0848656342323153,0,1.0,0.4074684279337497
2023-08-04,2023-08-07,72,Maharashtra,0.3956148028373718,23.488946533203148,0.4428153038024902,break,-0.0472005009651183,8,219,break,3.6084280059631193,3.165612702160629,3.165612702160629,0,1.0,0.4133168474203489
2023-08-05,2023-08-08,72,Maharashtra,0.2981497645378113,23.55758056640628,0.7529640793800354,break,-0.4548143148422241,8,220,break,3.5109629676635588,2.7579988882835234,2.7579988882835234,0,1.0,0.4079581663935574
2023-08-06,2023-08-09,72,Maharashtra,0.3714306652545929,23.367456054687523,0.6160570383071899,break,-0.244626373052597,8,221,break,3.5842438683803404,2.9681868300731504,2.9681868300731504,0,1.0,0.41708675768811676
2023-08-07,2023-08-10,72,Maharashtra,0.5056818127632141,23.3762145996094,0.5485551357269287,break,-0.0428733229637146,8,222,break,3.7184950158889616,3.169939880162033,3.169939880162033,0,1.0,0.43150382251936703
2023-08-08,2023-08-11,72,Maharashtra,0.5127476453781128,23.667779541015648,0.6611539721488953,break,-0.1484063267707824,8,223,break,3.72556084850386,3.0644068763549646,3.0644068763549646,0,0.995,0.4355316193693949
2023-08-09,2023-08-12,72,Maharashtra,0.4292686581611633,23.785668945312523,0.8925894498825073,break,-0.463320791721344,8,224,break,3.642081861286911,2.7494924114044035,2.7494924114044035,0,0.965,0.4341358550102205
2023-08-10,2023-08-13,72,Maharashtra,0.2612907886505127,23.409753417968773,0.7152494192123413,break,-0.4539586305618286,8,225,break,3.47410399177626,2.758854572563919,2.758854572563919,0,1.0,0.41937744842382624
2023-08-11,2023-08-14,72,Maharashtra,0.2251602560281753,23.732202148437523,2.0754196643829346,break,-1.8502594083547592,8,226,break,3.437973459153923,1.3625537947709883,1.3625537947709883,0,1.0,0.4192174021463233
