init_date,valid_date,lead_hours,region,forecast_precip_mm,forecast_temp_c
2023-07-08,2023-07-11,72,Maharashtra,0.7275640964508057,24.432580566406273
2023-07-09,2023-07-12,72,Maharashtra,1.0434149503707886,24.844018554687523
2023-07-10,2023-07-13,72,Maharashtra,0.4139714539051056,24.108239746093773
2023-07-11,2023-07-14,72,Maharashtra,0.5965909361839294,24.520318603515648
2023-07-12,2023-07-15,72,Maharashtra,1.6061334609985352,24.690270996093773
2023-07-13,2023-07-16,72,Maharashtra,2.8667685985565186,23.589654541015648
2023-07-14,2023-07-17,72,Maharashtra,1.3306381702423096,23.482293701171898
2023-07-15,2023-07-18,72,Maharashtra,1.402462124824524,23.737481689453148
2023-07-16,2023-07-19,72,Maharashtra,1.7387092113494873,23.685205078125023
2023-07-17,2023-07-20,72,Maharashtra,1.001019835472107,23.510156250000023
2023-07-18,2023-07-21,72,Maharashtra,0.6302447319030762,23.619378662109398
2023-07-19,2023-07-22,72,Maharashtra,1.8202214241027832,23.984582519531273
2023-07-20,2023-07-23,72,Maharashtra,1.0571095943450928,23.685449218750023
2023-07-21,2023-07-24,72,Maharashtra,1.6195367574691772,23.893762207031273
2023-07-22,2023-07-25,72,Maharashtra,3.7198426723480225,23.542260742187523
2023-07-23,2023-07-26,72,Maharashtra,5.508450031280518,23.558770751953148
2023-07-24,2023-07-27,72,Maharashtra,8.20272445678711,23.475305175781273
2023-07-25,2023-07-28,72,Maharashtra,5.023819923400879,23.592797851562523
2023-07-26,2023-07-29,72,Maharashtra,1.6984994411468506,22.925286865234398
2023-07-27,2023-07-30,72,Maharashtra,0.5423222780227661,23.023797607421898
2023-07-28,2023-07-31,72,Maharashtra,1.0381702184677124,23.714990234375023
2023-07-29,2023-08-01,72,Maharashtra,3.620119571685791,23.724114990234398
2023-07-30,2023-08-02,72,Maharashtra,1.426573395729065,23.674249267578148
2023-07-31,2023-08-03,72,Maharashtra,1.5634469985961914,23.586114501953148
2023-08-01,2023-08-04,72,Maharashtra,1.1244173049926758,23.212579345703148
2023-08-02,2023-08-05,72,Maharashtra,0.684003472328186,23.477838134765648
2023-08-03,2023-08-06,72,Maharashtra,0.36086830496788025,23.497644042968773
2023-08-04,2023-08-07,72,Maharashtra,0.3956148028373718,23.488946533203148
2023-08-05,2023-08-08,72,Maharashtra,0.2981497645378113,23.557580566406273
2023-08-06,2023-08-09,72,Maharashtra,0.3714306652545929,23.367456054687523
2023-08-07,2023-08-10,72,Maharashtra,0.5056818127632141,23.376214599609398
2023-08-08,2023-08-11,72,Maharashtra,0.5127476453781128,23.667779541015648
2023-08-09,2023-08-12,72,Maharashtra,0.42926865816116333,23.785668945312523
2023-08-10,2023-08-13,72,Maharashtra,0.2612907886505127,23.409753417968773
2023-08-11,2023-08-14,72,Maharashtra,0.22516025602817535,23.732202148437523
2023-08-12,2023-08-15,72,Maharashtra,0.29421618580818176,23.561547851562523
2023-08-13,2023-08-16,72,Maharashtra,0.22282925248146057,23.477746582031273
2023-08-14,2023-08-17,72,Maharashtra,0.1285693496465683,23.481378173828148
2023-08-15,2023-08-18,72,Maharashtra,0.41200464963912964,23.485223388671898
2023-08-16,2023-08-19,72,Maharashtra,1.7303321361541748,23.154565429687523
2023-08-17,2023-08-20,72,Maharashtra,0.9884907007217407,22.036492919921898
2023-08-18,2023-08-21,72,Maharashtra,0.5421037077903748,22.191857910156273
2023-08-19,2023-08-22,72,Maharashtra,0.2660256326198578,23.044763183593773
2023-08-20,2023-08-23,72,Maharashtra,0.5547785758972168,23.396356201171898
2023-08-21,2023-08-24,72,Maharashtra,0.37485432624816895,23.579888916015648
2023-08-22,2023-08-25,72,Maharashtra,0.8342074751853943,23.618310546875023
2023-08-23,2023-08-26,72,Maharashtra,0.5730623602867126,23.317010498046898
2023-08-24,2023-08-27,72,Maharashtra,0.6321386694908142,22.896508789062523
2023-08-25,2023-08-28,72,Maharashtra,0.5394813418388367,22.892938232421898
2023-08-26,2023-08-29,72,Maharashtra,0.38760197162628174,22.754876708984398
2023-08-27,2023-08-30,72,Maharashtra,0.08457168191671371,23.096185302734398
2023-08-28,2023-08-31,72,Maharashtra,0.24562937021255493,24.043634033203148
2023-08-29,2023-09-01,72,Maharashtra,0.27513110637664795,24.131097412109398
2023-08-30,2023-09-02,72,Maharashtra,0.7981497645378113,24.218591308593773
2023-08-31,2023-09-03,72,Maharashtra,2.5438520908355713,23.885736083984398
2023-09-01,2023-09-04,72,Maharashtra,3.0729894638061523,23.486840820312523
2023-09-02,2023-09-05,72,Maharashtra,2.5182838439941406,22.739648437500023
2023-09-03,2023-09-06,72,Maharashtra,4.225597381591797,23.193109130859398
2023-09-04,2023-09-07,72,Maharashtra,4.707458972930908,23.350335693359398
2023-09-05,2023-09-08,72,Maharashtra,3.072115421295166,23.287927246093773
2023-09-06,2023-09-09,72,Maharashtra,1.317453384399414,23.059716796875023
2023-09-07,2023-09-10,72,Maharashtra,0.8268502354621887,23.264947509765648
2023-09-08,2023-09-11,72,Maharashtra,1.1809440851211548,22.862298583984398
